Front;Back;LessonID;TopicTags;Family
hello;hallo;1;1_greetings_politeness;hello
hi;hi;1;1_greetings_politeness;hi
good morning;guten Morgen;1;1_greetings_politeness;good morning
afternoon;Tag;1;1_greetings_politeness;afternoon
evening;Abend;1;1_greetings_politeness;evening
goodbye;auf Wiedersehen;1;1_greetings_politeness;goodbye
bye;tschüss;1;1_greetings_politeness;bye
please;bitte;1;1_greetings_politeness;please
thank you;danke;1;1_greetings_politeness;thank you
thanks;bitte / danke;1;1_greetings_politeness;thanks
sorry;Entschuldigung;1;1_greetings_politeness;sorry
excuse me;Entschuldigung;1;1_greetings_politeness;excuse me
How are you?;Wie geht's?;1;1_greetings_politeness;how are you?
fine;gut;1;1_greetings_politeness;fine
name;Name (Vorname, Nachname);1;2_personal_details;name
first name;Name (Vorname, Nachname);1;2_personal_details;first name
surname;Name (Vorname, Nachname);1;2_personal_details;surname
address;Adresse;1;2_personal_details;address
street;Straße;1;2_personal_details;street
phone number;Telefonnummer;1;2_personal_details;phone number
email;E-Mail;1;2_personal_details;email
Mr;Herr;1;2_personal_details;mr
Mrs;Frau;1;2_personal_details;mrs
Ms;Herr / Frau;1;2_personal_details;ms
country;Land;1;3_countries_origins;country
world;Welt;1;3_countries_origins;world
Germany;Deutschland;1;3_countries_origins;germany
German;Deutsch;1;3_countries_origins;german
UK;UK;1;3_countries_origins;uk
British;britisch;1;3_countries_origins;british
USA;USA;1;3_countries_origins;usa
American;amerikanisch;1;3_countries_origins;american
France;Frankreich;1;3_countries_origins;france
French;französisch;1;3_countries_origins;french
be;sein;1;4_core_verbs_pronouns_grammar;be
am;sein;1;4_core_verbs_pronouns_grammar;am
is;sein;1;4_core_verbs_pronouns_grammar;is
are;sein;1;4_core_verbs_pronouns_grammar;are
speak;sprechen;1;4_core_verbs_pronouns_grammar;speak
say;sagen;1;4_core_verbs_pronouns_grammar;say
come;kommen;1;4_core_verbs_pronouns_grammar;come
come from;kommen;1;4_core_verbs_pronouns_grammar;come from
I, you, he, she, it, we, they;Ich, du, er, sie, es, wir, sie;1;4_core_verbs_pronouns_grammar;i, you, he, she, it, we, they
my, your;mein, dein;1;4_core_verbs_pronouns_grammar;my, your
family;Familie;2;4_core_verbs_pronouns_grammar;family
mother;Mutter;2;4_core_verbs_pronouns_grammar;mother
mom;Mama;2;4_core_verbs_pronouns_grammar;mom
father;Vater;2;4_core_verbs_pronouns_grammar;father
dad;Papa;2;4_core_verbs_pronouns_grammar;dad
brother;Bruder;2;4_core_verbs_pronouns_grammar;brother
sister;Schwester;2;4_core_verbs_pronouns_grammar;sister
friend;Freund;2;4_core_verbs_pronouns_grammar;friend
boy;Junge;2;4_core_verbs_pronouns_grammar;boy
girl;Mädchen;2;4_core_verbs_pronouns_grammar;girl
child;Kind;2;4_core_verbs_pronouns_grammar;child
children;Kind;2;4_core_verbs_pronouns_grammar;child
husband;Ehemann;2;4_core_verbs_pronouns_grammar;husband
wife;Ehefrau;2;4_core_verbs_pronouns_grammar;wife
parents;Eltern;2;4_core_verbs_pronouns_grammar;parents
book;Buch;3;4_core_verbs_pronouns_grammar;book
pen;Stift;3;4_core_verbs_pronouns_grammar;pen
bag;Tasche;3;4_core_verbs_pronouns_grammar;bag
phone;Telefon;3;4_core_verbs_pronouns_grammar;phone
key;Schlüssel;3;4_core_verbs_pronouns_grammar;key
computer;Computer;3;4_core_verbs_pronouns_grammar;computer
table;Tisch;3;4_core_verbs_pronouns_grammar;table
color;Farbe;3;4_core_verbs_pronouns_grammar;color
red, blue, green;rot, blau, grün;3;4_core_verbs_pronouns_grammar;red, blue, green
black, white;schwarz, weiß;3;4_core_verbs_pronouns_grammar;black, white
good;gut;4;4_core_verbs_pronouns_grammar;good
bad;schlecht;4;4_core_verbs_pronouns_grammar;bad
big;groß;4;4_core_verbs_pronouns_grammar;big
small;klein;4;4_core_verbs_pronouns_grammar;small
happy;glücklich;4;4_core_verbs_pronouns_grammar;happy
sad;traurig;4;4_core_verbs_pronouns_grammar;sad
new;neu;4;4_core_verbs_pronouns_grammar;new
old;alt;4;4_core_verbs_pronouns_grammar;old
hot;heiß;4;4_core_verbs_pronouns_grammar;hot
cold;kalt;4;4_core_verbs_pronouns_grammar;cold
nice;nett;4;4_core_verbs_pronouns_grammar;nice
beautiful;schön;4;4_core_verbs_pronouns_grammar;beautiful
different;anders;4;4_core_verbs_pronouns_grammar;different
very;sehr;4;4_core_verbs_pronouns_grammar;very
body;Körper;5;4_core_verbs_pronouns_grammar;body
head;Kopf;5;4_core_verbs_pronouns_grammar;head
hair;Haar(e);5;4_core_verbs_pronouns_grammar;hair
eye;Auge;5;4_core_verbs_pronouns_grammar;eye
hand;Hand;5;4_core_verbs_pronouns_grammar;hand
leg;Bein;5;4_core_verbs_pronouns_grammar;leg
foot;Fuß;5;4_core_verbs_pronouns_grammar;foot
feet;Fuß;5;4_core_verbs_pronouns_grammar;foot
tall;groß;5;4_core_verbs_pronouns_grammar;tall
short;klein (Personen);5;4_core_verbs_pronouns_grammar;short
have;haben;5;4_core_verbs_pronouns_grammar;have
got;haben;5;4_core_verbs_pronouns_grammar;got
house;Haus;6;4_core_verbs_pronouns_grammar;house
flat;Wohnung;6;4_core_verbs_pronouns_grammar;flat
room;Zimmer;6;4_core_verbs_pronouns_grammar;room
kitchen;Küche;6;4_core_verbs_pronouns_grammar;kitchen
bathroom;Badezimmer;6;4_core_verbs_pronouns_grammar;bathroom
bedroom;Schlafzimmer;6;4_core_verbs_pronouns_grammar;bedroom
living room;Wohnzimmer;6;4_core_verbs_pronouns_grammar;living room
door;Tür;6;4_core_verbs_pronouns_grammar;door
window;Fenster;6;4_core_verbs_pronouns_grammar;window
bed;Bett;6;4_core_verbs_pronouns_grammar;bed
chair;Stuhl;6;4_core_verbs_pronouns_grammar;chair
Hello / Hi;Hallo;1;greetings;hello / hi
Goodbye / Bye;Auf Wiedersehen / Tschüss;1;greetings;goodbye / bye
What is your name?;Wie heißt du / Wie heißen Sie?;1;intro;what is your name?
My name is...;Mein Name ist...;1;intro;my name is...
I am;Ich bin;1;grammar;i am
You are;Du bist / Sie sind;1;grammar;you are
Austria;Österreich;1;countries;austria
Switzerland;Schweiz;1;countries;switzerland
Mother / Mom;Mutter / Mama;2;family;mother / mom
Father / Dad;Vater / Papa;2;family;father / dad
Friend;Freund / Freundin;2;family;friend
He is;Er ist;2;grammar;he is
She is;Sie ist;2;grammar;she is
My;Mein/e;2;grammar;my
Your;Dein/e / Ihr/e;2;grammar;your
Who is that?;Wer ist das?;2;questions;who is that?
Pen;Stift / Kuli;3;objects;pen
Phone;Telefon / Handy;3;objects;phone
Chair;Stuhl;3;objects;chair
Red;Rot;3;colors;red
Blue;Blau;3;colors;blue
Green;Grün;3;colors;green
Black;Schwarz;3;colors;black
White;Weiß;3;colors;white
This is a...;Das hier ist ein/e...;3;grammar;this is a...
That is a...;Das dort ist ein/e...;3;grammar;that is a...
I have got;Ich habe;5;grammar;i have got
He has got;Er hat;5;grammar;he has got
Car;Auto;5;possessions;car
Bike;Fahrrad;5;possessions;bike
Hair;Haare;5;body;hair
Eyes;Augen;5;body;eyes
Dog;Hund;5;pets;dog
Cat;Katze;5;pets;cat
Apartment / Flat;Wohnung;6;home;apartment / flat
There is...;Es gibt... (Einzahl);6;grammar;there is...
There are...;Es gibt... (Mehrzahl);6;grammar;there are...
In;In;6;prepositions;in
On;Auf;6;prepositions;on
Under;Unter;6;prepositions;under
Wake up;Aufwachen;7;routine;wake up
Get up;Aufstehen;7;routine;get up
Eat breakfast;Frühstücken;7;routine;eat breakfast
Go to work;Zur Arbeit gehen;7;routine;go to work
One, Two, Three;Eins, Zwei, Drei;7;numbers;one, two, three
Ten, Twenty, Thirty;Zehn, Zwanzig, Dreißig;7;numbers;ten, twenty, thirty
What time is it?;Wie spät ist es?;7;time;what time is it?
It is 5 o'clock;Es ist 5 Uhr;7;time;it is 5 o'clock
I work;Ich arbeite;7;grammar;i work
I don't work;Ich arbeite nicht;7;grammar;i don't work
Teacher;Lehrer / Lehrerin;8;jobs;teacher
Doctor;Arzt / Ärztin;8;jobs;doctor
Student;Schüler / Student;8;jobs;student
Waiter;Kellner;8;jobs;waiter
He works;Er arbeitet;8;grammar;he works
She plays;Sie spielt;8;grammar;she plays
He doesn't work;Er arbeitet nicht;8;grammar;he doesn't work
Read;Lesen;8;activities;read
Write;Schreiben;8;activities;write
Speak;Sprechen;8;activities;speak
Monday;Montag;9;days;monday
Friday;Freitag;9;days;friday
Saturday;Samstag;9;days;saturday
Sunday;Sonntag;9;days;sunday
Always;Immer;9;grammar;always
Usually;Normalerweise;9;grammar;usually
Never;Niemals;9;grammar;never
Do you play?;Spielst du?;9;grammar;do you play?
Does he play?;Spielt er?;9;grammar;does he play?
Football / Soccer;Fußball;9;hobbies;football / soccer
Water;Wasser;10;food;water
Bread;Brot;10;food;bread
Apple;Apfel;10;food;apple
Cheese;Käse;10;food;cheese
Coffee;Kaffee;10;food;coffee
How much?;Wie viel? (Unzählbar);10;grammar;how much?
How many?;Wie viele? (Zählbar);10;grammar;how many?
I would like...;Ich hätte gerne...;10;phrases;i would like...
Price;Preis;10;shopping;price
Expensive;Teuer;10;shopping;expensive
City;Stadt;11;places;city
Street;Straße;11;places;street
Supermarket;Supermarkt;11;places;supermarket
Station;Bahnhof;11;places;station
Where is...?;Wo ist...?;11;phrases;where is...?
Go straight;Geh geradeaus;11;directions;go straight
Turn left;Bieg links ab;11;directions;turn left
Turn right;Bieg rechts ab;11;directions;turn right
Stop;Stopp / Halt an;11;grammar;stop
Excuse me;Entschuldigung (Sie mich);11;phrases;excuse me
And;Und;12;conjunctions;and
But;Aber;12;conjunctions;but
Why?;Warum?;12;questions;why?
Because;Weil;12;conjunctions;because
Very;Sehr;12;adverbs;very
A lot;Viel(e);12;quantifiers;a lot
Can you help me?;Kannst du / Können Sie mir helfen?;12;phrases;can you help me?
I don't understand;Ich verstehe nicht;12;phrases;i don't understand
Please;Bitte;12;phrases;please
Thank you;Danke;12;phrases;thank you
of;of;7;auto_frequency,source_oxford,auto_no_translation;of
to;to;8;auto_frequency,source_oxford,auto_no_translation;to
a;a;9;auto_frequency,source_oxford,auto_no_translation;a
for;for;10;auto_frequency,source_oxford,auto_no_translation;for
that;that;11;auto_frequency,source_oxford,auto_no_translation;that
by;by;12;auto_frequency,source_oxford,auto_no_translation;by
this;this;7;auto_frequency,source_oxford,auto_no_translation;this
with;with;8;auto_frequency,source_oxford,auto_no_translation;with
I;I;9;auto_frequency,source_oxford,auto_no_translation;i
you;you;10;auto_frequency,source_oxford,auto_no_translation;you
it;it;11;auto_frequency,source_oxford,auto_no_translation;it
not;not;12;auto_frequency,source_oxford,auto_no_translation;not
or;or;7;auto_frequency,source_oxford,auto_no_translation;or
from;from;8;auto_frequency,source_oxford,auto_no_translation;from
at;at;9;auto_frequency,source_oxford,auto_no_translation;at
as;as;10;auto_frequency,source_oxford,auto_no_translation;as
all;all;11;auto_frequency,source_oxford,auto_no_translation;all
more;more;12;auto_frequency,source_oxford,auto_no_translation;more
an;an;7;auto_frequency,source_oxford,auto_no_translation;an
we;we;8;auto_frequency,source_oxford,auto_no_translation;we
will;will;9;auto_frequency,source_oxford,auto_no_translation;will
home;home;10;auto_frequency,source_oxford,auto_no_translation;home
can;can;11;auto_frequency,source_oxford,auto_no_translation;can
us;us;12;auto_frequency,source_oxford,auto_no_translation;us
about;about;4;auto_frequency,source_oxford,auto_no_translation;about
if;if;7;auto_frequency,source_oxford,auto_no_translation;if
page;page;8;auto_frequency,source_oxford,auto_no_translation;page
free;free;9;auto_frequency,source_oxford,auto_no_translation;free
our;our;10;auto_frequency,source_oxford,auto_no_translation;our
one;one;11;auto_frequency,source_oxford,auto_no_translation;one
other;other;12;auto_frequency,source_oxford,auto_no_translation;other
do;do;4;auto_frequency,source_oxford,auto_no_translation;do
no;no;7;auto_frequency,source_oxford,auto_no_translation;no
information;information;8;auto_frequency,source_oxford,auto_no_translation;information
time;time;9;auto_frequency,source_oxford,auto_no_translation;time
they;they;10;auto_frequency,source_oxford,auto_no_translation;they
he;he;11;auto_frequency,source_oxford,auto_no_translation;he
up;up;12;auto_frequency,source_oxford,auto_no_translation;up
May;May;4;auto_frequency,source_oxford,auto_no_translation;may
what;what;7;auto_frequency,source_oxford,auto_no_translation;what
which;which;8;auto_frequency,source_oxford,auto_no_translation;which
their;their;9;auto_frequency,source_oxford,auto_no_translation;their
news;news;10;auto_frequency,source_oxford,auto_no_translation;news
out;out;11;auto_frequency,source_oxford,auto_no_translation;out
use;use;12;auto_frequency,source_oxford,auto_no_translation;use
any;any;4;auto_frequency,source_oxford,auto_no_translation;any
there;there;6;auto_frequency,source_oxford,auto_no_translation;there
see;see;7;auto_frequency,source_oxford,auto_no_translation;see
only;only;8;auto_frequency,source_oxford,auto_no_translation;only
so;so;9;auto_frequency,source_oxford,auto_no_translation;so
his;his;10;auto_frequency,source_oxford,auto_no_translation;his
when;when;11;auto_frequency,source_oxford,auto_no_translation;when
here;here;12;auto_frequency,source_oxford,auto_no_translation;here
business;business;4;auto_frequency,source_oxford,auto_no_translation;business
who;who;6;auto_frequency,source_oxford,auto_no_translation;who
also;also;7;auto_frequency,source_oxford,auto_no_translation;also
now;now;8;auto_frequency,source_oxford,auto_no_translation;now
help;help;9;auto_frequency,source_oxford,auto_no_translation;help
get;get;10;auto_frequency,source_oxford,auto_no_translation;get
online;online;11;auto_frequency,source_oxford,auto_no_translation;online
first;first;12;auto_frequency,source_oxford,auto_no_translation;first
would;would;4;auto_frequency,source_oxford,auto_no_translation;would
how;how;6;auto_frequency,source_oxford,auto_no_translation;how
me;me;7;auto_frequency,source_oxford,auto_no_translation;me
some;some;8;auto_frequency,source_oxford,auto_no_translation;some
its;its;9;auto_frequency,source_oxford,auto_no_translation;its
like;like;10;auto_frequency,source_oxford,auto_no_translation;like
than;than;11;auto_frequency,source_oxford,auto_no_translation;than
find;find;12;auto_frequency,source_oxford,auto_no_translation;find
date;date;3;auto_frequency,source_oxford,auto_no_translation;date
