Front;Back;LessonID;TopicTags;Family;Category
Emphasis;Betonung / Hervorhebung;1;rhetoric;emphasis;Lesson 1: Rhetorik
Crucial;Entscheidend / Wesentlich;1;adjectives;crucial;Lesson 1: Rhetorik
Consequently;Folglich;1;transitions;consequently;Lesson 1: Struktur
Furthermore;Des Weiteren;1;transitions;furthermore;Lesson 1: Struktur
Highlight;Hervorheben;1;verbs;highlight;Lesson 1: Rhetorik
Significance;Bedeutung / Wichtigkeit;1;nouns;significance;Lesson 1: Rhetorik
Implement;Implementieren / Umsetzen;1;verbs;implement;Lesson 1: Verben
Approach;Herangehensweise;1;nouns;approach;Lesson 1: Nouns
Perspective;Perspektive;1;nouns;perspective;Lesson 1: Nouns
Clarify;Klarstellen;1;verbs;clarify;Lesson 1: Verben
Seldom;Selten;2;adverbs;seldom;Lesson 2: Inversion
Rarely;Kaum / Selten;2;adverbs;rarely;Lesson 2: Inversion
Hardly;Kaum;2;adverbs;hardly;Lesson 2: Inversion
Under no circumstances;Unter keinen Umständen;2;phrases;under no circumstances;Lesson 2: Inversion
Not only... but also;Nicht nur... sondern auch;2;phrases;not only... but also;Lesson 2: Inversion
Formal;Formell;2;adjectives;formal;Lesson 2: Adjektive
Polite;Höflich;2;adjectives;polite;Lesson 2: Adjektive
Request;Anfrage / Bitte;2;nouns;request;Lesson 2: Nouns
Assistance;Unterstützung;2;nouns;assistance;Lesson 2: Nouns
Appreciate;Schätzen / Würdigen;2;verbs;appreciate;Lesson 2: Verben
Cohesion;Zusammenhalt (Text);3;nouns;cohesion;Lesson 3: Akademisch
Coherent;Stimmig / Logisch;3;adjectives;coherent;Lesson 3: Akademisch
Analyze;Analysieren;3;verbs;analyze;Lesson 3: Verben
Evaluate;Bewerten;3;verbs;evaluate;Lesson 3: Verben
Considerable;Beträchtlich;3;adjectives;considerable;Lesson 3: Adjektive
Substantial;Wesentlich / Erheblich;3;adjectives;substantial;Lesson 3: Adjektive
Respectively;Beziehungsweise;3;adverbs;respectively;Lesson 3: Adverbien
Thus;Somit / Dadurch;3;adverbs;thus;Lesson 3: Adverbien
Whereas;Wohingegen;3;conjunctions;whereas;Lesson 3: Konjunktion
Imply;Implizieren / Andeuten;3;verbs;imply;Lesson 3: Verben
Hypothesis;Hypothese;4;nouns;hypothesis;Lesson 4: Philosophie
Theoretical;Theoretisch;4;adjectives;theoretical;Lesson 4: Philosophie
Ethics;Ethik;4;nouns;ethics;Lesson 4: Philosophie
Moral;Moralisch;4;adjectives;moral;Lesson 4: Philosophie
Values;Werte;4;nouns;values;Lesson 4: Philosophie
Dilemma;Dilemma;4;nouns;dilemma;Lesson 4: Philosophie
Assume;Annehmen;4;verbs;assume;Lesson 4: Verben
Suppose;Angenommen...;4;verbs;suppose;Lesson 4: Verben
Justify;Rechtfertigen;4;verbs;justify;Lesson 4: Verben
Principle;Prinzip;4;nouns;principle;Lesson 4: Nouns
Nuance;Nuance / Feinheit;5;nouns;nuance;Lesson 5: Kritik
Subtle;Subtil / Fein;5;adjectives;subtle;Lesson 5: Kritik
Criticism;Kritik;5;nouns;criticism;Lesson 5: Kritik
Constructive;Konstruktiv;5;adjectives;constructive;Lesson 5: Kritik
Perception;Wahrnehmung;5;nouns;perception;Lesson 5: Psychologie
Deduce;Schlussfolgern;5;verbs;deduce;Lesson 5: Verben
Implication;Auswirkung / Implikation;5;nouns;implication;Lesson 5: Nouns
Ambiguous;Mehrdeutig;5;adjectives;ambiguous;Lesson 5: Adjektive
Slightly;Geringfügig / Leicht;5;adverbs;slightly;Lesson 5: Adverbien
Interpret;Interpretieren;5;verbs;interpret;Lesson 5: Verben
Essential;Essenziell / Unabdingbar;6;adjectives;essential;Lesson 6: Formales
Crucial;Ausschlaggebend;6;adjectives;crucial;Lesson 6: Formales
Vital;Lebenswichtig / Vital;6;adjectives;vital;Lesson 6: Formales
Demand;Fordern;6;verbs;demand;Lesson 6: Verben
Insist;Darauf bestehen;6;verbs;insist;Lesson 6: Verben
Regulation;Vorschrift / Regulierung;6;nouns;regulation;Lesson 6: Recht
Law;Gesetz;6;nouns;law;Lesson 6: Recht
Policy;Richtlinie / Politik;6;nouns;policy;Lesson 6: Nouns
Mandatory;Verpflichtend;6;adjectives;mandatory;Lesson 6: Adjektive
Prohibit;Untersagen;6;verbs;prohibit;Lesson 6: Verben
Negotiation;Verhandlung;7;business;negotiation;Lesson 7: Verhandlung
Compromise;Kompromiss;7;business;compromise;Lesson 7: Verhandlung
Agreement;Vereinbarung;7;business;agreement;Lesson 7: Verhandlung
Conflict;Konflikt;7;business;conflict;Lesson 7: Verhandlung
Resolve;Lösen / Klären;7;verbs;resolve;Lesson 7: Verben
Diplomatic;Diplomatisch;7;adjectives;diplomatic;Lesson 7: Adjektive
Strategy;Strategie;7;nouns;strategy;Lesson 7: Nouns
Mutual;Gegenseitig;7;adjectives;mutual;Lesson 7: Adjektive
Proposal;Vorschlag;7;nouns;proposal;Lesson 7: Nouns
Objection;Einwand;7;nouns;objection;Lesson 7: Nouns
Allegation;Anschuldigung / Behauptung;8;nouns;allegation;Lesson 8: Journalismus
Alleged;Angeblich;8;adjectives;alleged;Lesson 8: Journalismus
Rumour;Gerücht;8;nouns;rumour;Lesson 8: Journalismus
Reportedly;Berichten zufolge;8;adverbs;reportedly;Lesson 8: Journalismus
Supposedly;Vermutlich / Angeblich;8;adverbs;supposedly;Lesson 8: Journalismus
Bias;Voreingenommenheit;8;nouns;bias;Lesson 8: Journalismus
Objective;Objektiv;8;adjectives;objective;Lesson 8: Adjektive
Impartial;Unparteiisch;8;adjectives;impartial;Lesson 8: Adjektive
Confirm;Bestätigen;8;verbs;confirm;Lesson 8: Verben
Speculate;Spekulieren;8;verbs;speculate;Lesson 8: Verben
Behavior;Verhalten;9;psychology;behavior;Lesson 9: Psychologie
Emotion;Emotion;9;psychology;emotion;Lesson 9: Psychologie
Conscious;Bewusst;9;adjectives;conscious;Lesson 9: Psychologie
Subconscious;Unterbewusst;9;adjectives;subconscious;Lesson 9: Psychologie
Trait;Eigenschaft / Merkmal;9;nouns;trait;Lesson 9: Psychologie
Personality;Persönlichkeit;9;nouns;personality;Lesson 9: Psychologie
React;Reagieren;9;verbs;react;Lesson 9: Verben
Cope with;Bewältigen / Klarkommen mit;9;phrases;cope with;Lesson 9: Verben
Prone to;Neigen zu / Anfällig für;9;phrases;prone to;Lesson 9: Adjektive
Capable of;Fähig zu;9;phrases;capable of;Lesson 9: Adjektive
Idiom;Redewendung;10;language;idiom;Lesson 10: Idiome
Metaphor;Metapher;10;language;metaphor;Lesson 10: Idiome
Literally;Wörtlich;10;adverbs;literally;Lesson 10: Sprache
Figuratively;Im übertragenen Sinne;10;adverbs;figuratively;Lesson 10: Sprache
Once in a blue moon;Alle Jubeljahre mal (sehr selten);10;idioms;once in a blue moon;Lesson 10: Idiome
Piece of cake;Kinderspiel;10;idioms;piece of cake;Lesson 10: Idiome
Break a leg;Hals- und Beinbruch;10;idioms;break a leg;Lesson 10: Idiome
Cost an arm and a leg;Ein Vermögen kosten;10;idioms;cost an arm and a leg;Lesson 10: Idiome
See eye to eye;Einer Meinung sein;10;idioms;see eye to eye;Lesson 10: Idiome
Bite the bullet;In den sauren Apfel beißen;10;idioms;bite the bullet;Lesson 10: Idiome
Protagonist;Hauptfigur;11;literature;protagonist;Lesson 11: Literatur
Antagonist;Gegenspieler;11;literature;antagonist;Lesson 11: Literatur
Narrative;Erzählung / Narrativ;11;literature;narrative;Lesson 11: Literatur
Genre;Genre;11;literature;genre;Lesson 11: Literatur
Poetry;Poesie / Dichtung;11;literature;poetry;Lesson 11: Literatur
Prose;Prosa;11;literature;prose;Lesson 11: Literatur
Symbolism;Symbolik;11;literature;symbolism;Lesson 11: Literatur
