Front;Back;LessonID;TopicTags;Family;Category
Il fut;Er war (Passé Simple);1;grammar;il fut;Lesson 1: Passé Simple
Ils allèrent;Sie gingen (Passé Simple);1;grammar;ils allèrent;Lesson 1: Passé Simple
Conter;Erzählen (literarisch);1;verbs;conter;Lesson 1: Literatur
Récit;Erzählung;1;nouns;récit;Lesson 1: Literatur
Il y avait une fois;Es war einmal;1;phrases;il y avait une fois;Lesson 1: Phrasen
Qu'il fût;Dass er wäre (Imparfait Subj);1;grammar;qu'il fût;Lesson 1: Grammatik
Demeurer;Bleiben (gehoben);1;verbs;demeurer;Lesson 1: Verben
Songer;Denken / Träumen (gehoben);1;verbs;songer;Lesson 1: Verben
Soudainement;Plötzlich (gehoben);1;adverbs;soudainement;Lesson 1: Adverbien
Jadis;Einst / Früher;1;adverbs;jadis;Lesson 1: Adverbien
Métaphore;Metapher;2;nouns;métaphore;Lesson 2: Stil
Comparaison;Vergleich;2;nouns;comparaison;Lesson 2: Stil
Poser un lapin;Versetzen (Verabredung);2;idioms;poser un lapin;Lesson 2: Idiome
Avoir le cafard;Deprimiert sein;2;idioms;avoir le cafard;Lesson 2: Idiome
Tomber dans les pommes;In Ohnmacht fallen;2;idioms;tomber dans les pommes;Lesson 2: Idiome
Coup de foudre;Liebe auf den ersten Blick;2;idioms;coup de foudre;Lesson 2: Idiome
Sens figuré;Übertragener Sinn;2;nouns;sens figuré;Lesson 2: Stil
Littéralement;Wörtlich;2;adverbs;littéralement;Lesson 2: Stil
Poétique;Poetisch;2;adjectives;poétique;Lesson 2: Adjektive
Image;Bild (Metapher);2;nouns;image;Lesson 2: Stil
Langue soutenue;Gehobene Sprache;3;nouns;langue soutenue;Lesson 3: Register
Langue familière;Umgangssprache;3;nouns;langue familière;Lesson 3: Register
Argot;Slang;3;nouns;argot;Lesson 3: Register
Bagnole;Karre (Auto - fam.);3;nouns;bagnole;Lesson 3: Register
Automobile;Automobil (soutenu);3;nouns;automobile;Lesson 3: Register
Puis-je;Darf ich (Inversion);3;grammar;puis-je;Lesson 3: Grammatik
Auriez-vous;Hätten Sie (Höflichkeit);3;grammar;auriez-vous;Lesson 3: Grammatik
Veuillez;Wollen Sie bitte;3;grammar;veuillez;Lesson 3: Grammatik
Bouquin;Schmöker (Buch - fam.);3;nouns;bouquin;Lesson 3: Register
Ouvrage;Werk (Buch - soutenu);3;nouns;ouvrage;Lesson 3: Register
C'est ... qui;Es ist ... der/die (Betonung Subjekt);4;grammar;c'est ... qui;Lesson 4: Mise en relief
C'est ... que;Es ist ... den/die (Betonung Objekt);4;grammar;c'est ... que;Lesson 4: Mise en relief
Ce dont;Das, was / wovon;4;grammar;ce dont;Lesson 4: Mise en relief
Ce à quoi;Das, woran;4;grammar;ce à quoi;Lesson 4: Mise en relief
Justement;Gerade / Eben;4;adverbs;justement;Lesson 4: Adverbien
Précisément;Genau / Exakt;4;adverbs;précisément;Lesson 4: Adverbien
En effet;In der Tat;4;adverbs;en effet;Lesson 4: Konnektoren
Moi, je;Ich (Betonung);4;pronouns;moi, je;Lesson 4: Mise en relief
Lui, il;Er (Betonung);4;pronouns;lui, il;Lesson 4: Mise en relief
Insister;Bestehen auf;4;verbs;insister;Lesson 4: Verben
Destruction;Zerstörung;5;nouns;destruction;Lesson 5: Nominalisierung
Augmentation;Erhöhung / Anstieg;5;nouns;augmentation;Lesson 5: Nominalisierung
Fermeture;Schließung;5;nouns;fermeture;Lesson 5: Nominalisierung
Arrivée;Ankunft;5;nouns;arrivée;Lesson 5: Nominalisierung
Chute;Fall / Sturz;5;nouns;chute;Lesson 5: Nominalisierung
Perte;Verlust;5;nouns;perte;Lesson 5: Nominalisierung
Concision;Prägnanz;5;nouns;concision;Lesson 5: Stil
Densité;Dichte;5;nouns;densité;Lesson 5: Stil
Synthèse;Synthese / Zusammenfassung;5;nouns;synthèse;Lesson 5: Stil
